Geneid,LNCAP_Hypoxia_S2,PC3_Normoxia_S2,LNCAP_Hypoxia_S1,LNCAP_Normoxia_S2,PC3_Normoxia_S1,PC3_Hypoxia_S2,PC3_Hypoxia_S1,LNCAP_Normoxia_S1
ENSG00000000003,691,971,604,296,351,332,1059,367
ENSG00000000005,0,0,0,0,0,0,0,0
ENSG00000000419,5125,2800,4585,4389,1187,1143,3530,5120
ENSG00000000457,820,104,760,482,33,25,97,587
ENSG00000000460,517,486,399,385,196,170,442,559
ENSG00000000938,2,1,2,1,0,0,0,2
ENSG00000000971,0,2,0,0,0,1,3,1
ENSG00000001036,275,887,219,393,349,345,1011,393
ENSG00000001084,1964,1084,1430,789,371,301,936,1048
ENSG00000001167,6646,2003,6078,3985,738,766,2457,4816
ENSG00000001460,277,381,282,395,128,119,312,425
ENSG00000001461,2006,883,1665,2012,334,261,810,2208
ENSG00000001497,2454,609,2310,2695,230,151,424,2819
ENSG00000001561,1544,1523,1350,981,513,560,1704,1242
ENSG00000001617,1194,403,1232,716,159,93,268,756
ENSG00000001626,2,2,6,11,0,0,0,10
ENSG00000001629,2856,1262,2466,2025,466,412,1298,2492
ENSG00000001630,166,103,125,153,41,28,100,172
ENSG00000001631,779,294,653,573,97,90,254,732
ENSG00000002016,617,183,468,520,69,42,158,613
ENSG00000002330,713,321,655,872,163,104,300,539
ENSG00000002549,2519,962,2171,3798,333,244,755,3838
ENSG00000002586,10236,3055,8472,7142,1172,1454,3946,7187
ENSG00000002587,92,42,75,324,16,17,57,247
ENSG00000002726,4,0,4,2,0,0,1,3
ENSG00000002745,0,0,0,0,0,0,0,0
ENSG00000002746,3,45,0,1,10,8,17,1
ENSG00000002822,5,4,1,2,3,2,1,2
ENSG00000002834,5080,7975,4506,4091,3012,2710,7807,4658
ENSG00000002919,345,430,336,433,163,141,419,356
ENSG00000002933,0,0,0,0,0,0,0,0
ENSG00000003056,2789,3196,2492,2289,1357,1066,2853,2627
ENSG00000003096,92,277,69,163,119,85,276,121
ENSG00000003137,86,470,52,22,188,182,615,32
ENSG00000003147,2869,67,2681,2672,15,19,34,2780
ENSG00000003249,2289,428,2041,1724,180,140,525,1505
ENSG00000003393,2270,979,2103,1464,301,258,794,1837
ENSG00000003400,53,5,46,57,4,3,1,69
ENSG00000003402,3271,883,2753,2201,313,271,845,2812
ENSG00000003436,10421,1899,9248,3831,635,993,3011,4961
ENSG00000003509,943,538,861,810,206,165,367,898
ENSG00000003756,5110,959,4830,3800,303,268,914,4052
ENSG00000003987,2,3,0,0,0,1,4,0
ENSG00000003989,923,317,779,472,108,32,145,583
ENSG00000004059,3370,1041,2920,3053,386,322,774,2458
ENSG00000004139,1235,171,996,1485,66,28,62,1257
ENSG00000004142,4912,1622,4241,5696,680,458,1267,5535
ENSG00000004399,255,223,258,74,68,66,156,85
ENSG00000004455,9137,3163,7504,7021,1140,1230,3579,8669
ENSG00000004468,3,4,1,4,0,1,2,9
ENSG00000004478,12507,4816,9782,13683,1924,1435,4147,15141
ENSG00000004487,5605,1863,4628,3022,684,583,1704,3709
ENSG00000004534,8453,563,7756,4383,221,173,552,4882
ENSG00000004660,632,230,467,510,114,64,101,617
ENSG00000004700,2389,2451,2067,1918,847,1088,3320,2467
ENSG00000004766,879,1060,699,807,371,303,963,1143
ENSG00000004776,208,17,191,110,2,2,11,111
ENSG00000004777,1171,64,1242,676,27,23,32,687
ENSG00000004779,2902,847,2296,3113,299,304,859,2923
ENSG00000004799,0,66,0,1,23,15,49,2
ENSG00000004809,10,3,7,11,1,0,2,12
ENSG00000004838,71,9,81,66,3,1,11,76
ENSG00000004846,17,4,8,36,0,1,1,41
ENSG00000004848,43,6,39,55,1,1,1,44
ENSG00000004864,1691,1094,1269,1421,422,313,1011,1718
ENSG00000004866,6658,688,6679,4382,274,205,533,4398
ENSG00000004897,7823,10131,6257,5281,3503,4433,14660,7060
ENSG00000004939,2,6,6,5,0,0,0,6
ENSG00000004948,1,1,1,0,0,0,0,0
ENSG00000004961,1240,882,1058,791,352,289,749,855
ENSG00000004975,2676,782,2337,1503,299,264,640,1526
ENSG00000005001,9,14,10,7,4,3,10,6
ENSG00000005007,4478,407,3735,2732,180,145,452,3092
ENSG00000005020,2979,1188,2666,2074,334,408,1040,2455
ENSG00000005022,8145,3325,6680,7437,1217,1158,3445,7887
ENSG00000005059,11,383,8,25,138,200,633,20
ENSG00000005073,11,399,8,2,143,107,383,3
ENSG00000005075,549,426,440,622,204,120,295,495
ENSG00000005100,2472,519,2045,1538,202,118,362,1752
ENSG00000005102,0,6,0,0,2,1,5,0
ENSG00000005108,128,2,94,7,0,0,0,4
ENSG00000005156,3263,1208,2786,2954,462,245,645,3595
ENSG00000005175,5551,2739,5069,4625,950,772,2804,5801
ENSG00000005187,1255,154,1196,1895,51,26,76,2414
ENSG00000005189,877,172,777,578,65,51,106,747
ENSG00000005194,1364,793,1128,1203,271,187,597,1167
ENSG00000005206,1094,144,1083,830,74,48,83,736
ENSG00000005238,1400,378,1399,1123,157,200,527,847
ENSG00000005243,2,22,0,3,14,9,13,4
ENSG00000005249,1529,107,1436,910,24,25,66,1219
ENSG00000005302,2912,2217,2314,1372,818,841,2600,1603
ENSG00000005339,5637,1075,4912,2922,419,454,1429,3246
ENSG00000005379,232,167,211,170,74,46,104,137
ENSG00000005381,0,0,1,0,0,0,0,0
ENSG00000005421,2,1,0,0,0,0,0,0
ENSG00000005436,1769,964,1465,1325,349,259,769,1739
ENSG00000005448,459,374,397,352,157,321,768,276
ENSG00000005469,1282,432,1000,1046,176,124,320,1135
ENSG00000005471,2,7,2,8,4,3,4,5
ENSG00000005483,14436,1658,13093,5639,488,910,2703,6957
ENSG00000005486,1441,377,1397,807,156,158,337,718
ENSG00000005513,171,39,172,356,18,6,33,332
ENSG00000005700,4670,1342,4299,4395,487,441,1400,5314
ENSG00000005801,2152,724,1736,1560,260,190,589,2021
ENSG00000005810,10176,715,7788,7706,229,197,673,9581
ENSG00000005812,4325,815,3510,2298,277,392,1301,3102
ENSG00000005844,12,0,24,4,0,0,0,16
ENSG00000005882,2053,855,1947,1859,276,230,638,1902
ENSG00000005884,677,5191,672,423,1937,2776,7054,360
ENSG00000005889,2869,2907,2437,1089,1072,1029,3435,1515
ENSG00000005893,7081,4545,6333,5318,1655,1675,5071,7233
ENSG00000005961,10,43,13,3,15,15,26,3
ENSG00000005981,0,3,0,0,3,0,1,0
ENSG00000006007,12420,3761,12064,3424,1381,1901,5926,3363
ENSG00000006015,428,286,362,722,123,75,146,496
ENSG00000006016,13,27,21,5,12,6,22,3
ENSG00000006025,100,220,71,16,85,101,224,3
ENSG00000006042,996,925,907,1260,324,302,740,1090
ENSG00000006047,190,5,169,115,0,0,1,134
ENSG00000006059,0,0,0,0,0,0,0,0
ENSG00000006062,342,1014,275,463,400,290,772,408
ENSG00000006071,253,14,278,283,7,2,5,276
ENSG00000006116,0,0,0,0,0,0,2,0
ENSG00000006118,2894,1049,2508,2541,472,373,1062,1565
ENSG00000006125,12527,4433,10628,9977,1687,1466,4127,12077
ENSG00000006128,1,1,0,0,0,0,0,0
ENSG00000006194,1766,116,1564,1607,37,32,89,1521
